V1,V2
يالبيه,positive
يمتع العين,positive
يلعب بروح,positive
يغسل احزاننا,positive
يعطيك العافيه,positive
يضع بصمته,positive
يصالح جماهيره,positive
يصنع الفارق,positive
يصنع الفرق,positive
يشرح الصدر,positive
يسحب البساط,positive
يستعيد الصدراه,positive
يستاهلون الفوز,positive
يستحق الاشاده,positive
يستاهل الفوز,positive
يستاهل الكاس,positive
يستاهلك الفوز,positive
يرحم ايامك,positive
يدخلون التاريخ,positive
يحطم الرقم القياسي,positive
ي جمالكم,positive
يثلج الصدر,positive
يثلج صدورنا,positive
يبيض الوجه,positive
يبض الوجه,positive
يبرد القلب,positive
يبرد الكبد,positive
يا الجناح,positive
يا بخت,positive
يا بطال,positive
يا بطل,positive
يا بعدهم,positive
يا جمال,positive
يا جمالك,positive
يا حبي,positive
يا حبي لذا الوجه,positive
يا حبيبي,positive
يا حبيله,positive
يا حظنا,positive
يا حظهم,positive
يا حلاتك,positive
يا حلو يومك,positive
يا حيي هالوجه,positive
يا روعتك,positive
يا روعه,positive
يا زعما,positive
يا زعيم,positive
يا زين,positive
يا زين هالفرحه,positive
يا زينه,positive
يا زينها,positive
يا سطوره,positive
يا سلام,positive
يا سلام عليك,positive
يا عالمي,positive
يا عريس,positive
يا عمري,positive
يا فخامه,positive
يا فرحتنا,positive
يا فرحتي فرحتاه,positive
يا كبير,positive
يا كلهم,positive
يا لراقي,positive
يا لزعما,positive
يا لشقرديه,positive
يا لكاسر,positive
يا لوحش,positive
يا ماحلا,positive
يا ملوك,positive
يا واحشنا,positive
يارب وفق,positive
وقفتهم حلوه,positive
ولا اجمل,positive
ولا احلى,positive
ولا اروع,positive
وش احلى من كذا,positive
وش ذا القوه,positive
وجه الخير,positive
وجه السعد,positive
وجه خير,positive
وجهك خير,positive
وجيه خير,positive
وجيههم خير,positive
هزم الخصم والحكم,positive
هارد كك,positive
هاردلك,positive
نقله نوعيه,positive
نعمه عظيمه,positive
نحمد الله,positive
نجم كبير,positive
نتوجها بفوز,positive
ميه ميه,positive
نار الهجوم,positive
منو يطوله,positive
