M665131909396172800,8, 1 لمن سال عن حلقه اخبار التاسعه على تحدثت وبعض الاعلاميين عن هموم الخرج ,محايد,لا يمكن تحديده
M665641941594324992,1, amp افلام الاسبوع لقنوات الافلام amp MBC Home Of ستار_تايمز تلفزيون نادي مشاهدي قنوات mbc ,لا يمكن تحديده,محايد
M666025222450102272,1, Miss u all بعتذر غبت عنكن هاليومين بس مشغوله شوي بحبكن كلكن موااااه سوريا مصر السعوديه ,لا يمكن تحديده,محايد
M666025093009694720,1, ااااااااخ راسي رح ينفجر من مبارح وانا عندي رشحه قويه عنا الحراره 8 تحت الصفر بس مع ذلك اشتقتلكن ,لا يمكن تحديده,محايد
M666025692740603904,1, اتفضلو عالتبوله هههههههه سوريا مصر العراق السعوديه الجزائر ,لا يمكن تحديده,سخرية
M666649352354549760,1, اتوقع برنامج احلام على ,لا يمكن تحديده,محايد
M667279171144429568,71, احدهم ذات مره صرخ ع متهما ابطال تويتر بانهم يرسلون ابنائنا لحرب كافره في سوريا وهنا لم اسمعه استشهاد_رجلي_امن_بالع ,سلبي,محايد
M664771912653004800,9, احذر خونه الوطن من يقف ضد المواطن مقاطعه_فطور_فارس مرتزقه_برنامج_الاصرار الخونه دواعش_الاعلام الخائن ,سلبي,لا يمكن تحديده
M666364194544046080,3, احذفها وش تنتظر وخليك على والمسلسلات التركيه حذف_قناه_بدايه,سخرية,سلبي
M666025864996458496,1, احزرو لوين رايحه هلق ههههه ,لا يمكن تحديده,محايد
M664872375520010240,4, اخبار التاسعه تعرج عن الخرج في تقرير ونقص الخدمات اتمنى وصول الرساله عاجلا لولاه الامر المدينه_الرياضيه مستشفى ,محايد,سلبي
M664872587198074880,2, اخبار التاسعه في قناه توكد انه منع مراسلي القناه من اماره محافظه_الخرج بسبب السؤال عن تاخر الخدمات في المحافظه ,محايد,سلبي
M664564417019961344,4, استغرب من الجميع الهجوم القاسي على برنامج اصرار وقناه بدون اي دليل واضح وحتى بالرغم من برااه القناه ,محايد,إيجابي
M665675945714589696,4, استمر بارك الله فيك ولاتلتفت لابناا مجموعه العهر قال ايش قال حلم او دريم مايبي يفقد مسابقته لذلك تجده يظهر التعاطف معهم ,كلاهما,سلبي
M666025105525460992,1, اشتقتولي متل ما اشتقتلكن هلق بعد شوي رح اترك شيكاغو باتجاه نيوجيرسي ادعولي بحبكن كتير سوريا ,لا يمكن تحديده,محايد
M665985436020510720,50, اعلامنا المحسوب علينا يخدم من برنامج الثامنه_مع_داود ينبش ملف قضيه البدون في مثل هذا الوقت السعوديه الثامنه ,سلبي,لا يمكن تحديده
M667292630871511040,1, اعلاني تبع وزاره التربيه والتعليم برنامج فطن فاجوني الصراحه معلمه_تحتفل_بطلاقها_داخل_مدرسه ,لا يمكن تحديده,محايد
M665668677489045504,1, ال الصرف الصحي تبع كل قنوات العالم,سلبي,لا يمكن تحديده
M665730212970262528,1, الاحمق احمق ودليل حماقاته يعمل في ال ,لا يمكن تحديده,سلبي
M664768401966014464,1, الخونه حينما تواجههم يفعلون هكذا مقاطعه_فطور_فارس داعش اكشن_يا_دوري ,سلبي,محايد
M666866059287359488,1, الداخليه_تضبط_خليه_حزب_الله مع مثل هذا الخبر يصاب الليبروفاشيون ابواق و العربيه وصحفنا الصفراا بالصمم والخرس لان الار ,لا يمكن تحديده,إيجابي
M664727399058317312,1, السعوديه حفظها الله ف حاله حرب ومجموعه تروج لحضور مصارعه جون سينا ف جده سؤال هل عصابه الليبراليه تخشى عهد الملك_سلمان ,سلبي,محايد
M667387455918776320,9, العلمانيين روتانا_خليجيه يعملون ليل نهار لنشر ثقافه العري بالسعوديه والسعوديين يحتشمون اكثر ,سلبي,كلاهما
M667617402696413184,7, الف الف مبروك ل قناه_بدايه على صعودها للمركز الاول ضمن المحطات المهدده لمجتمعنا وياتي في المركز الثاني الشمطاا ,سخرية,كلاهما
M664601540133593088,3, المتلاعب والباحث عن الشهره يخاف عندما يصل الامر لمستوى الوزير والتحقيق في الامر لكن موقف احمد لم يتغير كذلك اندفاع مري ,لا يمكن تحديده,محايد
M666374447285293056,4, الى المواطن احمد بصفته ترى ال ما توصل مواصيلنا حتى اذا طلعت معاها الثالثه_الرياضيه ,لا يمكن تحديده,محايد
M666025873980719104,1, انا كتيييير نعست وبدي نام وبدي قلكن تصبحو على الف خير وبحبكن كتييييير موااااااه ,لا يمكن تحديده,إيجابي
M666026271260962816,1, انا وامو لاحمد جمال عم نطبخ ملوخيه ههههههه ممممممم عنا غدا كتييييير طيب اليوم P ,سخرية,لا يمكن تحديده
