,Testing Data,Predicted Labels
0,ايش هالنباح الهلال_التعاون,2
1, الف مبروك ل عشاق الزعيم البطوله 57 ولا زال للمجد بقيه الهلال يعني ان تحقق اكثر واكثر ان تفرح اكثر واكثر ,1
2, اخبار_ماس اعتقالات بسلوفاكيا على خلفيه هجمات باريس القت السلطات السلوفاكيه القبض على عشرين ا الجزيره,2
3, مشكله برشلونه ان دافعت شقوك وان هاجمت جلدوك وان لعبت متزن جننونك يا اخوان هذا النادي اللعين خرشنا الحمدلله تشلسي ماهو معه ,0
4, الحمدلله حتى ترضى الحمدلله بعد الرضى الحمدلله اذا رضيت الف مبروك شعب العالمي اداا ومستوى النصر_الاتحاد ,1
5, اذا علق دراسه الوزير بفطركم كلم تعليق_الدراسه_في_القصيم,2
6, الغدر شيمهم والقتل غايتهم وقطع الارحام صنيعتهم والشيطان قدوتهم يمرقون من الدين كما يمرق السهم الرميه داعشي_يقتل_ابن_عمه,0
7, 57 بطوله حقيقيه الارقام تتعب من الزعيم الهلال_الاهلي,1
8, 1 تير شتيغن اول حارس من برشلونه في تاريخ دوري ابطال اوروبا يتصدى لركلتي جزاا برشلونه_روما,1
9, تاسس الهلال عام 1957 واليوم عدد بطولاته 57,2
10, عاجل هجمات متعدده في باريس وموت 18شخص على الاقل بسبب ذلك ايضا عمليه اختطاف في صاله عرض والرهائن لازالوا محبوسين ,2
11, السماح_بالسينما_في_السعوديه السينما رذيله وفحش المسارح والسيرك حرام والموسيقى والرقص كل وسائل الترفيه تجر لرذيله الكابه والفراغ هو الشرف,0
12, السماح_بالسينما_في_السعوديه وجود السينما ليس من باب الحضاره والتقدم و النهضه والتنميه ,2
13, جديد_المقالات بقلم مرضي العفري بعنوان لست ارجو سعاده عظمى صحيفه_الوئام تعليق_الدراسه_في_القصيم,2
14,لو انا طالبه اكثر شي اتمناه الحين اني انولدت من نسل قصيمي تعليق_الدراسه_في_القصيم,2
15, الكل يعلم عزوز انتهى لكن لاجل عين تكرم مدينه والضحيه جمهور الهلال متى يفهم بندر بن محمد ان الهلال فوق الجميع اله ,0
16,توقعات الامطار والله اعلم بريده المدينه_المنوره حائل القصيم تعليق_الدراسه الطقس درب_المزن ,2
17, حصارهم يثبت بان كثيرا من بلدان عالمنا الاسلامي محاصر بحكومات تخدم المشروع الصهيوني اكثر مما تخدم الصهيونيه نفسها حصار_غز ,0
18,اخبار اليمن رجل الاعمال الشميري قصه الانسان الذي قتله اعداا الانسانيه اليمن,0
19, الهلال رسميا يتوج بطل لكاس ولي العهد وتحقيق البطوله رقم ال 57 ,1
20, كبير ياياسر المهاجم الكبير يحترم الميدا الخطير الهلال_هجر,1
21, السماح_بالسينما_في_السعوديه ياجماعه دولتنا في فتره حروب وانتو مو حاسين بشي ودا نعمه من ربي والحمدلله كل يوم طالعين بهشتاق اتفه من التاني ,0
22, رفع_اسعار_البنزين_والكهرباا بينما كوب قهوه ب 18 ريال بنسبه ربحيه تفوق 200 و جل ربح الشركه البايعه له تخصصه لتنميه الكيان الصهيوني يتبع,0
23,الف مبروووووك للزعماا التاهل وفالنا الكاس ان شاا الله تاهل مستحق الزعيم يسير بخطى ثابته الهلال_التعاون الهلال,1
24,اعبد الله كما امرك ويرزقك كما وعدك الميزانيه_السعوديه رفع_تسعيره_الكهرباا رفع_اسعار,2
25, برشلونه_روما متعوده دائما شيزني ,1
26, صباح العز صباح الشجاعه والبساله صباح الفخر يارب ثبتهم وسدد رميهم رجال_الحد_الجنوبي,1
27, السلام عليكم وردني اتصال من رقم يقول معك شركه سوا stc ربحت معنا ميتين الف ريال ارجعي اتصلي علينا حتى ناخذ معلوماتك وحسابك البنكي,2
